dataset,tnet_old_prec,tnet_old_rec,tnet_old_f1,tnet_new_prec,tnet_new_rec,tnet_new_f1
SEIR015_sl1000_mr025_nv10_12,0.769,1,0.87,0.778,0.7,0.737
SEIR015_sl1000_mr025_nv10_13,0.333,0.4,0.364,0.333,0.4,0.364
SEIR015_sl1000_mr025_nv10_14,0.69,0.8,0.741,0.731,0.76,0.745
SEIR015_sl1000_mr025_nv10_15,0.588,0.69,0.635,0.478,0.379,0.423
SEIR015_sl1000_mr025_nv10_16,0.625,0.714,0.667,0.688,0.786,0.733
SEIR015_sl1000_mr025_nv10_17,0.821,0.842,0.831,0.812,0.684,0.743
SEIR015_sl1000_mr025_nv10_18,0.73,0.73,0.73,0.771,0.73,0.75
SEIR015_sl1000_mr025_nv10_19,0.773,0.895,0.829,0.778,0.737,0.757
SEIR015_sl1000_mr025_nv10_2,0.842,0.857,0.85,0.829,0.607,0.701
SEIR015_sl1000_mr025_nv10_20,0.6,0.75,0.667,0.714,0.625,0.667
SEIR015_sl1000_mr025_nv10_3,0.918,0.978,0.947,0.886,0.848,0.867
SEIR015_sl1000_mr025_nv10_4,0.708,0.773,0.739,0.821,0.727,0.771
SEIR015_sl1000_mr025_nv10_5,0.854,0.854,0.854,0.907,0.812,0.857
SEIR015_sl1000_mr025_nv10_6,0.826,0.826,0.826,0.947,0.783,0.857
SEIR015_sl1000_mr025_nv10_7,0.889,0.889,0.889,0.889,0.889,0.889
SEIR015_sl1000_mr025_nv10_8,0.944,0.85,0.895,1,0.85,0.919
SEIR015_sl1000_mr025_nv10_9,0.931,0.964,0.947,0.925,0.875,0.899
SEIR015_sl1000_mr025_nv20_1,0.667,0.667,0.667,0.667,0.667,0.667
SEIR015_sl1000_mr025_nv20_10,0.7,0.778,0.737,0.7,0.778,0.737
SEIR015_sl1000_mr025_nv20_11,0.857,0.923,0.889,0.833,0.769,0.8
SEIR015_sl1000_mr025_nv20_12,0.48,0.6,0.533,0.48,0.6,0.533
SEIR015_sl1000_mr025_nv20_13,0.538,0.778,0.636,0.571,0.889,0.696
SEIR015_sl1000_mr025_nv20_14,0.909,0.909,0.909,0.889,0.727,0.8
SEIR015_sl1000_mr025_nv20_15,0.581,0.75,0.655,0.643,0.75,0.692
SEIR015_sl1000_mr025_nv20_16,0.871,0.9,0.885,0.862,0.833,0.847
SEIR015_sl1000_mr025_nv20_17,0.845,0.875,0.86,0.868,0.821,0.844
SEIR015_sl1000_mr025_nv20_18,0.609,0.718,0.659,0.651,0.718,0.683
SEIR015_sl1000_mr025_nv20_19,0.462,0.545,0.5,0.429,0.545,0.48
SEIR015_sl1000_mr025_nv20_2,0.846,0.88,0.863,0.917,0.88,0.898
SEIR015_sl1000_mr025_nv20_20,0.684,0.684,0.684,0.667,0.526,0.588
SEIR015_sl1000_mr025_nv20_3,0.625,0.682,0.652,0.71,0.667,0.688
SEIR015_sl1000_mr025_nv20_4,0.853,0.879,0.866,0.846,0.667,0.746
SEIR015_sl1000_mr025_nv20_5,0.949,0.949,0.949,0.943,0.846,0.892
SEIR015_sl1000_mr025_nv20_6,0.696,0.842,0.762,0.738,0.816,0.775
SEIR015_sl1000_mr025_nv20_7,0.917,0.917,0.917,1,0.806,0.892
SEIR015_sl1000_mr025_nv20_8,0.627,0.776,0.693,0.671,0.701,0.686
SEIR015_sl1000_mr025_nv20_9,0.611,0.611,0.611,0.615,0.444,0.516
SEIR015_sl1000_mr025_nv5_1,0.615,0.571,0.593,1,0.643,0.783
SEIR015_sl1000_mr025_nv5_10,0.737,0.778,0.757,0.818,0.75,0.783
SEIR015_sl1000_mr025_nv5_11,0.628,0.574,0.6,0.771,0.574,0.659
SEIR015_sl1000_mr025_nv5_12,0.375,0.273,0.316,0.429,0.273,0.333
SEIR015_sl1000_mr025_nv5_13,0.964,0.871,0.915,0.88,0.71,0.786
SEIR015_sl1000_mr025_nv5_14,0.611,0.733,0.667,0.625,0.667,0.645
SEIR015_sl1000_mr025_nv5_15,0.703,0.692,0.698,0.796,0.662,0.723
SEIR015_sl1000_mr025_nv5_16,0.95,0.731,0.826,1,0.769,0.87
SEIR015_sl1000_mr025_nv5_17,0.905,0.927,0.916,0.846,0.805,0.825
SEIR015_sl1000_mr025_nv5_18,0.708,0.618,0.66,0.8,0.582,0.674
SEIR015_sl1000_mr025_nv5_19,0.389,0.636,0.483,0.583,0.636,0.609
SEIR015_sl1000_mr025_nv5_2,1,0.889,0.941,1,0.667,0.8
SEIR015_sl1000_mr025_nv5_20,0.61,0.61,0.61,0.724,0.512,0.6
SEIR015_sl1000_mr025_nv5_3,0.682,0.556,0.612,0.875,0.519,0.651
SEIR015_sl1000_mr025_nv5_4,0.705,0.62,0.66,0.775,0.62,0.689
SEIR015_sl1000_mr025_nv5_5,0.706,0.571,0.632,0.643,0.429,0.514
SEIR015_sl1000_mr025_nv5_6,0.604,0.516,0.557,0.7,0.452,0.549
SEIR015_sl1000_mr025_nv5_7,0.846,0.846,0.846,0.762,0.615,0.681
SEIR015_sl1000_mr025_nv5_8,0.773,0.739,0.756,0.812,0.565,0.667
SEIR015_sl1000_mr025_nv5_9,0.632,0.6,0.615,0.595,0.55,0.571
SEIR015_sl1000_mr05_nv10_1,0.75,0.882,0.811,0.667,0.588,0.625
SEIR015_sl1000_mr05_nv10_10,0.8,0.889,0.842,0.8,0.889,0.842
SEIR015_sl1000_mr05_nv10_11,0.333,0.375,0.353,0.375,0.375,0.375
SEIR015_sl1000_mr05_nv10_12,0.727,1,0.842,0.727,1,0.842
SEIR015_sl1000_mr05_nv10_13,0.918,0.918,0.918,0.942,0.803,0.867
SEIR015_sl1000_mr05_nv10_14,0.74,0.804,0.771,0.722,0.565,0.634
SEIR015_sl1000_mr05_nv10_15,0.75,0.818,0.783,0.7,0.636,0.667
SEIR015_sl1000_mr05_nv10_16,0.809,0.927,0.864,0.875,0.854,0.864
SEIR015_sl1000_mr05_nv10_17,0.779,0.87,0.822,0.731,0.71,0.721
SEIR015_sl1000_mr05_nv10_18,0.773,0.829,0.8,0.756,0.829,0.791
SEIR015_sl1000_mr05_nv10_19,0.784,0.906,0.841,0.758,0.781,0.769
SEIR015_sl1000_mr05_nv10_2,0.886,0.738,0.805,0.931,0.643,0.761
SEIR015_sl1000_mr05_nv10_20,0.404,0.463,0.432,0.458,0.268,0.338
SEIR015_sl1000_mr05_nv10_3,0.81,0.839,0.825,0.868,0.821,0.844
SEIR015_sl1000_mr05_nv10_4,0.6,0.656,0.627,0.576,0.594,0.585
SEIR015_sl1000_mr05_nv10_5,0.818,0.818,0.818,0.7,0.636,0.667
SEIR015_sl1000_mr05_nv10_6,0.871,0.9,0.885,0.81,0.567,0.667
SEIR015_sl1000_mr05_nv10_7,0.476,0.769,0.588,0.562,0.692,0.621
SEIR015_sl1000_mr05_nv10_8,0.795,0.861,0.827,0.788,0.722,0.754
SEIR015_sl1000_mr05_nv10_9,0.812,0.867,0.839,0.923,0.8,0.857
SEIR015_sl250_mr025_nv10_1,0.538,0.824,0.651,0.652,0.882,0.75
SEIR015_sl250_mr025_nv10_10,0.416,0.542,0.471,0.403,0.458,0.429
SEIR015_sl250_mr025_nv10_11,0.463,0.559,0.507,0.5,0.529,0.514
SEIR015_sl250_mr025_nv10_12,0.403,0.674,0.504,0.5,0.721,0.59
SEIR015_sl250_mr025_nv10_13,0.706,0.75,0.727,0.8,0.75,0.774
SEIR015_sl250_mr025_nv10_14,0.349,0.6,0.441,0.447,0.68,0.54
SEIR015_sl250_mr025_nv10_15,0.774,0.837,0.804,0.736,0.796,0.765
SEIR015_sl250_mr025_nv10_16,0.161,0.333,0.217,0.2,0.333,0.25
SEIR015_sl250_mr025_nv10_17,0.8,0.667,0.727,0.714,0.417,0.526
SEIR015_sl250_mr025_nv10_18,0.471,0.727,0.571,0.278,0.455,0.345
SEIR015_sl250_mr025_nv10_19,0.548,0.622,0.582,0.515,0.459,0.486
SEIR015_sl250_mr025_nv10_2,0.258,0.364,0.302,0.316,0.273,0.293
SEIR015_sl250_mr025_nv10_20,0.659,0.818,0.73,0.675,0.818,0.74
SEIR015_sl250_mr025_nv10_3,0.545,0.8,0.649,0.524,0.733,0.611
SEIR015_sl250_mr025_nv10_4,0.692,0.72,0.706,0.731,0.76,0.745
SEIR015_sl250_mr025_nv10_5,0.556,0.625,0.588,0.75,0.75,0.75
SEIR015_sl250_mr025_nv10_6,0.684,0.743,0.712,0.605,0.657,0.63
SEIR015_sl250_mr025_nv10_7,0.333,0.375,0.353,0.333,0.375,0.353
SEIR015_sl250_mr025_nv10_8,0.793,0.852,0.821,0.8,0.741,0.769
SEIR015_sl250_mr025_nv10_9,0.474,0.6,0.529,0.571,0.533,0.552
SEIR015_sl500_mr025_nv10_1,0.667,0.8,0.727,0.545,0.6,0.571
SEIR015_sl500_mr025_nv10_10,0.911,0.953,0.932,0.878,0.837,0.857
SEIR015_sl500_mr025_nv10_11,0.364,0.5,0.421,0.429,0.375,0.4
SEIR015_sl500_mr025_nv10_12,0.678,0.755,0.714,0.756,0.585,0.66
SEIR015_sl500_mr025_nv10_13,0.538,0.75,0.627,0.485,0.571,0.525
SEIR015_sl500_mr025_nv10_14,0.8,0.889,0.842,1,0.889,0.941
SEIR015_sl500_mr025_nv10_15,0.803,0.845,0.824,0.811,0.741,0.775
SEIR015_sl500_mr025_nv10_16,0.714,0.833,0.769,0.667,0.667,0.667
SEIR015_sl500_mr025_nv10_17,0.632,0.857,0.727,0.765,0.929,0.839
SEIR015_sl500_mr025_nv10_18,0.667,0.692,0.679,0.765,0.5,0.605
SEIR015_sl500_mr025_nv10_19,0.727,0.8,0.762,0.875,0.7,0.778
SEIR015_sl500_mr025_nv10_2,0.625,0.625,0.625,0.625,0.625,0.625
SEIR015_sl500_mr025_nv10_20,0.725,0.781,0.752,0.77,0.734,0.752
SEIR015_sl500_mr025_nv10_3,0.757,0.757,0.757,0.758,0.676,0.714
SEIR015_sl500_mr025_nv10_4,0.367,0.439,0.4,0.444,0.488,0.465
SEIR015_sl500_mr025_nv10_5,0.933,1,0.966,0.812,0.929,0.867
SEIR015_sl500_mr025_nv10_6,0.75,0.789,0.769,0.75,0.789,0.769
SEIR015_sl500_mr025_nv10_7,0.515,0.548,0.531,0.702,0.532,0.606
SEIR015_sl500_mr025_nv10_8,0.734,0.866,0.795,0.712,0.701,0.707
SEIR015_sl500_mr025_nv10_9,0.538,0.636,0.583,0.583,0.636,0.609
SEIR01_sl1000_mr0125_nv10_1,0.684,0.722,0.703,0.765,0.722,0.743
SEIR01_sl1000_mr0125_nv10_10,0.926,0.926,0.926,0.9,0.833,0.865
SEIR01_sl1000_mr0125_nv10_11,0.923,0.923,0.923,0.923,0.923,0.923
SEIR01_sl1000_mr0125_nv10_12,0.2,0.2,0.2,0.333,0.2,0.25
SEIR01_sl1000_mr0125_nv10_13,0.818,0.9,0.857,0.818,0.9,0.857
SEIR01_sl1000_mr0125_nv10_14,0.933,0.933,0.933,0.967,0.967,0.967
SEIR01_sl1000_mr0125_nv10_15,0.818,0.75,0.783,0.864,0.792,0.826
SEIR01_sl1000_mr0125_nv10_16,0.714,0.714,0.714,0.857,0.857,0.857
SEIR01_sl1000_mr0125_nv10_17,0.769,0.833,0.8,0.769,0.833,0.8
SEIR01_sl1000_mr0125_nv10_18,0.851,0.889,0.87,0.86,0.822,0.841
SEIR01_sl1000_mr0125_nv10_19,0.862,0.833,0.847,0.923,0.8,0.857
SEIR01_sl1000_mr0125_nv10_2,0.923,0.923,0.923,0.923,0.923,0.923
SEIR01_sl1000_mr0125_nv10_20,0.885,0.92,0.902,0.92,0.92,0.92
SEIR01_sl1000_mr0125_nv10_3,0.895,0.895,0.895,0.889,0.842,0.865
SEIR01_sl1000_mr0125_nv10_4,0.833,0.833,0.833,0.9,0.75,0.818
SEIR01_sl1000_mr0125_nv10_5,0.854,0.872,0.863,0.872,0.872,0.872
SEIR01_sl1000_mr0125_nv10_6,0.891,0.854,0.872,0.951,0.812,0.876
SEIR01_sl1000_mr0125_nv10_7,0.921,0.897,0.909,0.973,0.923,0.947
SEIR01_sl1000_mr0125_nv10_8,0.667,0.667,0.667,0.667,0.667,0.667
SEIR01_sl1000_mr0125_nv10_9,0.958,0.979,0.968,0.933,0.894,0.913
SEIR01_sl1000_mr025_nv10_1,0.897,0.929,0.912,0.889,0.857,0.873
SEIR01_sl1000_mr025_nv10_10,0.778,0.778,0.778,0.7,0.778,0.737
SEIR01_sl1000_mr025_nv10_11,0.861,0.886,0.873,0.879,0.829,0.853
SEIR01_sl1000_mr025_nv10_12,0.75,0.75,0.75,0.714,0.625,0.667
SEIR01_sl1000_mr025_nv10_13,0.8,0.8,0.8,0.812,0.65,0.722
SEIR01_sl1000_mr025_nv10_14,0.857,0.882,0.87,0.857,0.882,0.87
SEIR01_sl1000_mr025_nv10_15,0.8,0.8,0.8,0.8,0.8,0.8
SEIR01_sl1000_mr025_nv10_16,0.905,0.905,0.905,0.923,0.857,0.889
SEIR01_sl1000_mr025_nv10_17,0.689,0.689,0.689,0.833,0.667,0.741
SEIR01_sl1000_mr025_nv10_18,0.889,0.889,0.889,0.778,0.778,0.778
SEIR01_sl1000_mr025_nv10_19,0.847,0.847,0.847,0.855,0.797,0.825
SEIR01_sl1000_mr025_nv10_2,0.875,0.955,0.913,0.875,0.955,0.913
SEIR01_sl1000_mr025_nv10_20,0.824,0.824,0.824,0.824,0.824,0.824
SEIR01_sl1000_mr025_nv10_3,0.837,0.837,0.837,0.84,0.857,0.848
SEIR01_sl1000_mr025_nv10_4,0.887,0.904,0.895,0.891,0.788,0.837
SEIR01_sl1000_mr025_nv10_5,0.841,0.841,0.841,0.925,0.841,0.881
SEIR01_sl1000_mr025_nv10_6,0.857,0.857,0.857,0.714,0.714,0.714
SEIR01_sl1000_mr025_nv10_7,0.757,0.7,0.727,0.806,0.725,0.763
SEIR01_sl1000_mr025_nv10_8,0.815,0.815,0.815,0.88,0.815,0.846
SEIR01_sl1000_mr025_nv10_9,0.844,0.809,0.826,0.854,0.745,0.795
SEIR01_sl1000_mr025_nv20_1,0.909,0.938,0.923,0.912,0.969,0.939
SEIR01_sl1000_mr025_nv20_10,0.667,0.667,0.667,0.857,0.667,0.75
SEIR01_sl1000_mr025_nv20_11,0.8,0.8,0.8,0.8,0.8,0.8
SEIR01_sl1000_mr025_nv20_12,0.889,0.889,0.889,0.889,0.889,0.889
SEIR01_sl1000_mr025_nv20_13,0.862,0.862,0.862,0.873,0.828,0.85
SEIR01_sl1000_mr025_nv20_14,0.846,0.846,0.846,0.846,0.846,0.846
SEIR01_sl1000_mr025_nv20_15,0.957,0.957,0.957,0.913,0.913,0.913
SEIR01_sl1000_mr025_nv20_16,0.556,0.714,0.625,0.6,0.857,0.706
SEIR01_sl1000_mr025_nv20_17,0.84,0.84,0.84,0.88,0.88,0.88
SEIR01_sl1000_mr025_nv20_18,0.885,0.885,0.885,0.885,0.885,0.885
SEIR01_sl1000_mr025_nv20_19,0.943,0.943,0.943,0.943,0.943,0.943
SEIR01_sl1000_mr025_nv20_2,0.907,0.929,0.918,0.907,0.929,0.918
SEIR01_sl1000_mr025_nv20_20,0.897,0.839,0.867,0.857,0.774,0.814
SEIR01_sl1000_mr025_nv20_3,0.864,0.905,0.884,0.864,0.905,0.884
SEIR01_sl1000_mr025_nv20_4,0.75,0.75,0.75,0.75,0.75,0.75
SEIR01_sl1000_mr025_nv20_5,0.848,0.848,0.848,0.848,0.848,0.848
SEIR01_sl1000_mr025_nv20_6,0.917,1,0.957,0.917,1,0.957
SEIR01_sl1000_mr025_nv20_7,0.824,0.824,0.824,0.824,0.824,0.824
SEIR01_sl1000_mr025_nv20_8,0.6,0.6,0.6,0.6,0.6,0.6
SEIR01_sl1000_mr025_nv20_9,0.917,0.917,0.917,1,1,1
SEIR01_sl1000_mr025_nv5_1,0.8,0.683,0.737,0.844,0.659,0.74
SEIR01_sl1000_mr025_nv5_10,0.844,0.818,0.831,0.92,0.697,0.793
SEIR01_sl1000_mr025_nv5_11,0.842,0.842,0.842,0.812,0.684,0.743
SEIR01_sl1000_mr025_nv5_12,0.789,0.789,0.789,0.824,0.737,0.778
SEIR01_sl1000_mr025_nv5_13,0.917,0.917,0.917,0.917,0.917,0.917
SEIR01_sl1000_mr025_nv5_14,0.762,0.8,0.78,0.818,0.9,0.857
SEIR01_sl1000_mr025_nv5_15,0.75,0.778,0.764,0.731,0.704,0.717
SEIR01_sl1000_mr025_nv5_16,0.944,0.944,0.944,0.944,0.944,0.944
SEIR01_sl1000_mr025_nv5_17,0.818,0.818,0.818,0.909,0.909,0.909
SEIR01_sl1000_mr025_nv5_18,0.773,0.723,0.747,0.842,0.681,0.753
SEIR01_sl1000_mr025_nv5_19,0.931,0.931,0.931,0.948,0.948,0.948
SEIR01_sl1000_mr025_nv5_2,0.6,0.562,0.581,0.75,0.562,0.643
SEIR01_sl1000_mr025_nv5_20,0.667,0.667,0.667,0.652,0.625,0.638
SEIR01_sl1000_mr025_nv5_3,0.818,0.9,0.857,0.727,0.8,0.762
SEIR01_sl1000_mr025_nv5_4,0.787,0.74,0.763,0.902,0.74,0.813
SEIR01_sl1000_mr025_nv5_5,0.708,0.667,0.687,0.758,0.49,0.595
SEIR01_sl1000_mr025_nv5_6,0.625,0.625,0.625,0.75,0.75,0.75
SEIR01_sl1000_mr025_nv5_7,0.9,0.9,0.9,0.9,0.9,0.9
SEIR01_sl1000_mr025_nv5_8,0.913,0.913,0.913,0.818,0.783,0.8
SEIR01_sl1000_mr025_nv5_9,0.889,0.889,0.889,0.889,0.889,0.889
SEIR01_sl1000_mr05_nv10_1,0.818,0.692,0.75,0.909,0.769,0.833
SEIR01_sl1000_mr05_nv10_10,0.857,0.857,0.857,0.857,0.857,0.857
SEIR01_sl1000_mr05_nv10_11,0.735,0.781,0.758,0.774,0.75,0.762
SEIR01_sl1000_mr05_nv10_12,0.847,0.862,0.855,0.889,0.828,0.857
SEIR01_sl1000_mr05_nv10_13,0.875,0.875,0.875,0.875,0.875,0.875
SEIR01_sl1000_mr05_nv10_14,0.919,0.872,0.895,0.879,0.744,0.806
SEIR01_sl1000_mr05_nv10_15,0.875,0.875,0.875,0.875,0.875,0.875
SEIR01_sl1000_mr05_nv10_16,0.955,0.955,0.955,0.955,0.955,0.955
SEIR01_sl1000_mr05_nv10_17,0.913,0.955,0.933,0.952,0.909,0.93
SEIR01_sl1000_mr05_nv10_18,0.86,0.875,0.867,0.873,0.857,0.865
SEIR01_sl1000_mr05_nv10_19,0.667,0.571,0.615,1,0.714,0.833
SEIR01_sl1000_mr05_nv10_2,0.889,1,0.941,0.889,1,0.941
SEIR01_sl1000_mr05_nv10_20,0.904,0.904,0.904,0.956,0.827,0.887
SEIR01_sl1000_mr05_nv10_3,0.875,0.84,0.857,0.875,0.84,0.857
SEIR01_sl1000_mr05_nv10_4,0.667,0.727,0.696,0.727,0.727,0.727
SEIR01_sl1000_mr05_nv10_5,0.889,0.889,0.889,0.889,0.889,0.889
SEIR01_sl1000_mr05_nv10_6,0.9,0.9,0.9,0.889,0.8,0.842
SEIR01_sl1000_mr05_nv10_7,0.809,0.826,0.817,0.809,0.826,0.817
SEIR01_sl1000_mr05_nv10_8,0.875,0.875,0.875,0.875,0.875,0.875
SEIR01_sl1000_mr05_nv10_9,0.923,0.923,0.923,0.958,0.885,0.92
SEIR01_sl250_mr025_nv10_1,0.623,0.733,0.673,0.6,0.667,0.632
SEIR01_sl250_mr025_nv10_10,0.737,0.824,0.778,0.737,0.824,0.778
SEIR01_sl250_mr025_nv10_11,0.684,0.812,0.743,0.722,0.812,0.765
SEIR01_sl250_mr025_nv10_12,0.792,0.884,0.835,0.778,0.814,0.795
SEIR01_sl250_mr025_nv10_13,0.429,0.5,0.462,0.571,0.667,0.615
SEIR01_sl250_mr025_nv10_14,0.5,0.522,0.511,0.561,0.5,0.529
SEIR01_sl250_mr025_nv10_15,0.7,1,0.824,0.7,1,0.824
SEIR01_sl250_mr025_nv10_16,0.5,0.674,0.574,0.5,0.652,0.566
SEIR01_sl250_mr025_nv10_17,0.308,0.5,0.381,0.25,0.375,0.3
SEIR01_sl250_mr025_nv10_18,0.636,0.656,0.646,0.583,0.656,0.618
SEIR01_sl250_mr025_nv10_19,0.714,0.833,0.769,0.714,0.833,0.769
SEIR01_sl250_mr025_nv10_2,0.556,0.714,0.625,0.625,0.714,0.667
SEIR01_sl250_mr025_nv10_20,0.684,0.722,0.703,0.778,0.778,0.778
SEIR01_sl250_mr025_nv10_3,0.667,0.815,0.733,0.645,0.741,0.69
SEIR01_sl250_mr025_nv10_4,0.812,0.929,0.867,0.812,0.929,0.867
SEIR01_sl250_mr025_nv10_5,0.609,0.683,0.644,0.622,0.683,0.651
SEIR01_sl250_mr025_nv10_6,0.577,0.682,0.625,0.536,0.682,0.6
SEIR01_sl250_mr025_nv10_7,0.706,0.857,0.774,0.706,0.857,0.774
SEIR01_sl250_mr025_nv10_8,0.619,0.765,0.684,0.628,0.794,0.701
SEIR01_sl250_mr025_nv10_9,0.694,0.82,0.752,0.758,0.82,0.787
SEIR01_sl500_mr025_nv10_1,0.455,0.5,0.476,0.667,0.6,0.632
SEIR01_sl500_mr025_nv10_10,0.714,0.714,0.714,0.714,0.714,0.714
SEIR01_sl500_mr025_nv10_11,0.737,0.824,0.778,0.737,0.824,0.778
SEIR01_sl500_mr025_nv10_12,0.923,0.941,0.932,0.9,0.882,0.891
SEIR01_sl500_mr025_nv10_13,0.667,0.7,0.683,0.875,0.7,0.778
SEIR01_sl500_mr025_nv10_14,0.714,0.833,0.769,0.714,0.833,0.769
SEIR01_sl500_mr025_nv10_15,0.783,0.81,0.797,0.86,0.845,0.852
SEIR01_sl500_mr025_nv10_16,0.75,0.8,0.774,0.857,0.8,0.828
SEIR01_sl500_mr025_nv10_17,0.429,0.5,0.462,0.4,0.333,0.364
SEIR01_sl500_mr025_nv10_18,0.5,0.5,0.5,0.5,0.5,0.5
SEIR01_sl500_mr025_nv10_19,0.6,0.75,0.667,0.7,0.875,0.778
SEIR01_sl500_mr025_nv10_2,0.625,0.625,0.625,0.5,0.5,0.5
SEIR01_sl500_mr025_nv10_20,0.767,0.719,0.742,0.815,0.688,0.746
SEIR01_sl500_mr025_nv10_3,0.826,0.905,0.864,0.826,0.905,0.864
SEIR01_sl500_mr025_nv10_4,0.625,0.714,0.667,0.75,0.857,0.8
SEIR01_sl500_mr025_nv10_5,0.667,0.8,0.727,1,0.8,0.889
SEIR01_sl500_mr025_nv10_6,0.857,0.906,0.881,0.894,0.792,0.84
SEIR01_sl500_mr025_nv10_7,0.8,0.824,0.812,0.771,0.794,0.783
SEIR01_sl500_mr025_nv10_8,0.737,0.875,0.8,0.737,0.875,0.8
SEIR01_sl500_mr025_nv10_9,0.778,0.778,0.778,0.778,0.778,0.778
SIR003_sl1000_mr025_nv10_1,0.714,0.714,0.714,0.833,0.714,0.769
SIR003_sl1000_mr025_nv10_10,0.786,0.846,0.815,0.833,0.769,0.8
SIR003_sl1000_mr025_nv10_11,0.679,0.633,0.655,0.85,0.567,0.68
SIR003_sl1000_mr025_nv10_12,0.837,0.837,0.837,0.848,0.796,0.821
SIR003_sl1000_mr025_nv10_13,0.667,0.545,0.6,0.667,0.364,0.471
SIR003_sl1000_mr025_nv10_14,0.857,0.8,0.828,0.846,0.733,0.786
SIR003_sl1000_mr025_nv10_15,0.667,0.583,0.622,0.722,0.542,0.619
SIR003_sl1000_mr025_nv10_16,0.632,0.706,0.667,0.688,0.647,0.667
SIR003_sl1000_mr025_nv10_17,0.75,0.783,0.766,0.818,0.783,0.8
SIR003_sl1000_mr025_nv10_18,1,1,1,1,1,1
SIR003_sl1000_mr025_nv10_19,0.783,0.75,0.766,0.739,0.708,0.723
SIR003_sl1000_mr025_nv10_2,0.882,0.789,0.833,0.875,0.737,0.8
SIR003_sl1000_mr025_nv10_20,0.667,0.667,0.667,0.667,0.667,0.667
SIR003_sl1000_mr025_nv10_3,1,0.769,0.87,1,0.731,0.844
SIR003_sl1000_mr025_nv10_4,0.852,0.742,0.793,0.875,0.677,0.764
SIR003_sl1000_mr025_nv10_5,0.857,0.857,0.857,0.714,0.714,0.714
SIR003_sl1000_mr025_nv10_6,0.696,0.696,0.696,0.75,0.652,0.698
SIR003_sl1000_mr025_nv10_7,0.571,0.5,0.533,0.643,0.562,0.6
SIR003_sl1000_mr025_nv10_8,0.867,0.867,0.867,0.867,0.867,0.867
SIR003_sl1000_mr025_nv10_9,0.643,0.643,0.643,0.842,0.571,0.681
SIR003_sl1000_mr05_nv10_1,0.625,0.588,0.606,0.786,0.647,0.71
SIR003_sl1000_mr05_nv10_10,0.846,0.846,0.846,0.846,0.846,0.846
SIR003_sl1000_mr05_nv10_11,0.657,0.657,0.657,0.667,0.629,0.647
SIR003_sl1000_mr05_nv10_12,0.827,0.782,0.804,0.857,0.764,0.808
SIR003_sl1000_mr05_nv10_13,0.827,0.768,0.796,0.894,0.75,0.816
SIR003_sl1000_mr05_nv10_14,1,1,1,1,1,1
SIR003_sl1000_mr05_nv10_15,0.846,0.846,0.846,0.923,0.923,0.923
SIR003_sl1000_mr05_nv10_16,0.769,0.8,0.784,0.789,0.6,0.682
SIR003_sl1000_mr05_nv10_17,0.667,0.429,0.522,0.75,0.429,0.545
SIR003_sl1000_mr05_nv10_18,0.81,0.739,0.773,0.8,0.696,0.744
SIR003_sl1000_mr05_nv10_19,0.711,0.73,0.72,0.763,0.784,0.773
